词条,创建年,摘要
船新,2019,摘要： 船新的来源和意思船新=全新。来源于香港明星渣渣辉张家辉在为游戏《贪玩蓝月》做广告宣传时不标准的普通话发音。由于贪玩蓝月邀请了数位香港影星进行宣传，这些影星的港普发音都极有特色，再加上广告投放非常密集，他
我觉得不行我觉得OK,2017,摘要： 要说最近最火的流行语，那肯定是你有Freestyle吗，不管是各大综艺节目还是网友口头禅到处都是Freestyle。我觉得不行、我觉得可以也和Freestyle一起火了起来，让人有点一头雾水。那么我觉得
贫穷限制了我的想象力,2019,摘要： 对自己经济实力差的自嘲。穷到连想到不敢想了。
既视感,2019,摘要： 既视感的来源和意思该词源自法语“Déjà vu”，指对于现在经历的场景，产生了一种以前经历过的错觉，是一种生理现象。在网络用语中，多指通过现有的资源，脑补出了某些与记忆中相似的画面，比如站在船头远望，就
装13,2017,摘要： 为什么绿茶婊看起来会很傻很天真，因为她们会装13哦
背书包护蛋,2014,摘要： 近日，北京丰台区草桥小学学生一整天都在背着书包，而且是不管做什么书包都不能放下来，这是为什么呢？原来学校是让他们“背书包护蛋”
槟榔男,2019,摘要： 槟榔男的来源和意思甜，容易上瘾，最后变渣，记得及时吐，不然会中毒槟榔男的使用例句槟榔男的英文翻译
提桶进厂,2020,摘要： 提桶进厂的来源和意思该词来源于2020年6月份走红于网络的“提桶哥”，提桶哥在深圳工厂之间不断跳槽更换工作，先后经历了伯恩厂、富士康等大厂，每次去找新工作的时候，都手提水桶，肩背凉席，桶里装满了自己的日
海王,2020,"摘要： 海王是指暧昧关系众多经常以广撒网捕鱼为中心指导思想撩妹的渣男&nbsp;，与”中央空调”同义，源于""本以为游进了哥哥的鱼塘，没想到哥哥是&nbsp;个海王。引用示例本以为走进了哥哥的心房，却没想到只是"
高端大气上档次,2014,摘要： 高端大气上档次，低调奢华有内涵
熔炉,2019,摘要： 由黄东赫导演，孔枝泳编剧，孔刘，郑裕美，金贤秀，金志映等人主演的韩国电影。以发生于光州一所聋哑障碍人学校中的性暴力虐童事件为蓝本改编而成。因为造成巨大社会反响，推动了相关法律的完善，而被誉为“改变了一个
自鸽选手,2019,摘要： 自鸽选手的来源和意思狠起来连自己鸽子都放的人。说好了回家就洗澡的，结果三个小时连衣服都还没脱；买好了面包和牛奶机会做第二天的早餐，但第二天的你起床：我饭呢？自鸽选手根本轮不到别人放他鸽子，自己就能把自己
切瓜,2019,摘要： 切瓜的来源和意思韩饭饭圈用语一般爱豆回归时都会在各大音源网站（就像QQ音乐，网易云音乐……）上发布歌曲，其中韩国最大的音源网站Melon，翻译过来就是瓜的意思。因为韩国有音乐打榜节目，有一位机制，一位分
社畜,2020,摘要： 社畜，日语是しゃちく，网络流行词，是日本用于形容上班族的贬义词，&nbsp;指在公司很顺从的工作，被公司当作牲畜一样压榨的员工，多用于自嘲。该词出自日本企业底层上班族的自嘲用语，通过日剧传播开来，如今成
亲情价,2019,摘要： 亲情价指的是你无论买多贵的东西，&nbsp;你告诉爸妈时都会把价格说的很便&nbsp;宜。娜娜我曾经给老妈买了个两千的&nbsp;手机，怕她说贵就跟她说花800多买&nbsp;的。让我万万没想到的是，不
鸭梨山大,2017,摘要： 鸭梨山大的来源和意思&nbsp; &nbsp;不多解释了，就是“压力山大”的意思啦，意为“压力像山一样大”。&nbsp; &nbsp;&nbsp; &nbsp;类似的还有“毫无鸭梨”表示“毫无压力”的意
国士,2020,摘要： 国士的来源和意思心怀天下，舍身为国的高洁之士。常说：“国士无双”，即国家中最杰出的，无可替代的人。源自《史记·淮阴侯列传》中萧何对韩信的描述：“诸将易得耳，至如信者，国士无双。”如杂交水稻之父袁隆平，抗
银,2014,摘要： 银是一种姓氏，是出自完颜姓，为女真族姓氏，现在汉族“银”姓在主义分布在我国自贡，遂宁和资阳一带，那银还有什么意思呢？
你Y的,2017,摘要： 有了男朋友也不告诉姐一下，你Y的
忽悠,2014,摘要： 忽悠是什么意思　　释义：忽悠的意思：1．一种飘忽不定的状况或心态。 2．北方一带的俗话。忽悠的本字是“胡诱”，胡乱诱导的意思。即是使用言语，巧设圈套引人上勾。叫人上当，使期望失败。忽悠的由来　忽悠有“胡
领盒饭,2020,摘要： 领盒饭的来源和意思指的是影视剧中的人物死掉了，后面的剧情再也没有他的戏份了，于是可以领盒饭吃了，因为很多群众演员都没有工资，拍一个镜头就完事，然后他们的报酬就是一盒盒饭，于是角色挂掉了就用领盒饭来形容了
熔炉,2019,摘要： 由黄东赫导演，孔枝泳编剧，孔刘，郑裕美，金贤秀，金志映等人主演的韩国电影。以发生于光州一所聋哑障碍人学校中的性暴力虐童事件为蓝本改编而成。因为造成巨大社会反响，推动了相关法律的完善，而被誉为“改变了一个
带妹党,2019,摘要： 带妹党的来源和意思游戏中表面上是在指导女生玩游戏，实际上是在不分场合地聊天把妹，即使在打排位赛时，也经常不顾队友死活使劲儿聊天的一种玩家。通常性别男，爱好女。
引爷之王,2020,摘要： 引爷之王的来源和意思原指“引流之王”指观众让up主把视频的标题或封面改成别的之后，观看数飙升的现象，那个提建议的观众就叫引流之王后来“爷”的表情包盛行，大家自称为“爷”，并在那个建议者的评论下回复“就是
得得得得得得得得得得,2021,摘要： 这是卢本伟斗地主时剩下两个炸弹，打出一个后唱出的旋律，因为紧接着就被一个更大的炸弹压死紧接着输掉游戏且旋律极度鬼畜，被网友调侃成为流行语。
车窗垃圾,2014,摘要： 走在马路上，身边车辆飞驰而过，突然被不明飞行物袭击？不明飞行物来自哪里？
十动然拒,2015,"摘要： 全班男生穿三角裤合影留班花,再次上演十动然拒哎"
戏精,2019,摘要： 作为网络流行语的该词其含义为形&nbsp;容某个人戏很多，很会给自己加戏，&nbsp;喜欢博眼球的意思。用法有褒又贬，&nbsp;褒义就是单纯的赞美很会演的意&nbsp;思，贬义就是爱作秀，说的通俗一点
我酸了,2019,摘要： “我酸了”是2019年新出来的一个&nbsp;网络用语，估计还有很多小伙伴还不&nbsp;知道是什么意思？简单来说我酸了就&nbsp;是我羡慕了的意思，我酸了一般是用&nbsp;在羡慕别人的甜甜的爱情上
The Godfather,2019,摘要： 一部由弗朗西斯·福特·科波拉(Francis&nbsp;Ford&nbsp;Coppola)导演；马龙·白兰度（Marlon&nbsp;Brando）和阿尔·帕西诺（Al&nbsp;Pacino）主演的
接盘侠,2019,摘要： 接盘侠的来源和意思接盘一词最早起源于股市交易，意为买进庄家出货的股票。现多用于形容男性不知情或者被迫接受一名非处女作为自己的伴侣，这些男性认为自己的女人是被别的男人玩过的，就没有贞操，不值钱了，是一种典
偶像包袱,2021,摘要： 偶像包袱的来源和意思偶像包袱最早出自2005年，一般是用来吐槽明星的。指的意思是偶像由于要顾及自己的形象，比如发型不能乱，衣服要整洁，说话要得体，显得有内涵等等因素，致使自己上节目或者表演的时候会放不开
要你寡,2019,摘要： 要你寡的来源和意思“要你管”的谐音，语出巴啦啦小魔仙中，小兰对游乐王子说：“你还在这里干嘛”游乐王子用不标准的普通话回答道：“要你管 要泥寡”，被网友称为“要你寡”来自于B站up主“桃子啊Taozii”
汁多肉少,2021,摘要： 近日一伙游客在海南三亚景区的酒楼吃饭，其中点了一道叫海胆蒸蛋的菜，6个总计200多块，也不算便宜了，可是发现里面没有海胆肉，甚至连海胆味都没有，于是找餐厅理论，并报了警，多个部门同时介入调查。很快啊，三
渣男,2019,摘要： 渣男工作态度就是混日子。泡妞就&nbsp;像蚂蝗一样拼命钻，恋爱时装的很&nbsp;乖能收起一切不良爱好，上床前被&nbsp;女人怎么拒绝和侮辱都可以。渣男&nbsp;内心都是很扭曲黑暗自卑的，看到&n
美眉,2015,摘要： 风骚的美眉我喜欢
港灿,2019,摘要： 港灿的来源和意思指部分不熟悉内地文化又看不起内地人的香港人。80年代电视剧《阿灿正传》的主角“阿灿”是个偷渡到港的农村小伙，很“乡巴佬”，此后香港人就将内地人称为“阿灿”，后来香港经济发展不敌内地，开始
山争大哥,2018,摘要： “山争大哥”可以说是今日的热门词汇了，吃瓜群众可能看得一脸懵逼，关于“山争大哥”是什么梗，“山争大哥”是什么意思，流行语百科带你解读
丐穷,2017,摘要： 俺现在是丐穷丐穷的啊
213,2014,摘要： 可能是因为我们说“B”时，很简单联想到女人生殖器的原因。因此有文雅人士就用13来替代B啰
三次元,2015,摘要： 不要老是沉迷电脑了哦，让俺们回归三次元生活
爬墙,2015,摘要： 敢爬墙?小心本宫剪了你的小鸡鸡
洗衣机男,2019,摘要： 洗衣机男的来源和意思一开始泡你，缠着你没商量，和你如胶似漆，最后把你甩在一边，晾着你洗衣机男的使用例句洗衣机男的英文翻译
刻进DNA里的XX,2020,摘要： 刻进DNA里的XX的来源和意思“不由自主、条件反射”的进阶版表达方式多在弹幕爆炸时见到“这刻进DNA里的台词”、“刻进DNA的动作”、刻进DNA的XX……也就是名台词和名场面的演员式调侃语气举些栗子：《
原生态食材,2014,摘要： 自从《舌尖上的中国2》播出之后，引发人们对“原生态食材”的热捧，什么深山野蜂蜜制成的酥油蜂蜜等等，而且还带动了一些地区“原生态”食品的购物热潮。
先森,2017,摘要： 先森您好
ntr,2020,摘要： 寝取日语寝取られ（Netorare）的罗马音缩写，意思是戴绿帽。当然是选择原谅她啊。
忙完这一阵就可以忙下一阵了,2019,摘要： 忙完这一阵就可以忙下一阵了的来源和意思网络上常见的丧系自嘲和调侃用句，意指“忙是忙不完的，这一阵忙完了还有下一阵更忙的等着你”。衍生自生活中常见的安慰用句“忙完这一阵就可以歇歇了”。其前半句话看似是要宽
what's your problem,2019,摘要： what's your problem的来源和意思百度总裁李彦宏在百度AI开发者大会上宏颜获水意外被人迎头泼矿泉水时，对泼水者说的话。该词在字面上虽可译为“你有什么问题”，但实际上在英语中表意类似于“
魔道名景：魏婴见狗,2019,摘要： 大名鼎鼎的夷陵老祖是个见狗怂！见到仙子直接一蹦三尺高扑入蓝二公子的怀中…［捂脸］［捂脸］，当然这也和幼时被狗围堵欺负有关系…心疼我羡羡也是因为这个宇宙第一直男江澄才认出了羡羡！
蓝丝带,2019,摘要： 蓝丝带的来源和意思蓝丝带原本的寓意是爱和自由，但后来蓝丝带在香港变成了反对黄丝带的代表团体。黄丝带在香港现多指2014年9月下旬中国全国人民代表大会常务委员会通过极高门槛的香港政改决定草案结束后，某些游
印度阿三,2020,摘要： 对印度人的蔑称。当时上海英国租界有很多印度过来的公职人员，是英国人忠实的喽啰。阿sir可以统一称呼这些警务人员，而阿三则是阿sir的空耳
绿帽子,2014,摘要： 你妻子这么美丽动人又风骚，估计你以后要被戴绿帽子了哦
你在教我做事,2020,摘要： 指的是讨厌别人对你指手画脚，不需要你来教我，你觉着你比我懂得多？还能教我怎么做？一般来说，对方并非你上级，或者能力威望、身份地位等不比你高，却非要按他的想法指使你，这就很令人不满。
深夜战友,2019,摘要： 有人一起熬夜的话，好像就不会那么焦虑了。虽然都在做自己的事没有在一起，但每隔一会儿的“嘤嘤嘤你睡了吗”“呜呜呜我没睡这种看起来没有什么意义的交流，却像把自己的后背交给彼此，让人安全感爆棚。在熬夜这片战场
元芳，你怎么看？,2019,"摘要： 来源:源自《神探狄仁杰》系列电视&nbsp;剧,剧中狄大人常对李元芳说:“元芳,此&nbsp;事你怎么看。”而李元芳的回答也固&nbsp;定化,“大人,我觉得此事有蹊跷。”或&nbsp;者“此事背后一定"
你品你细品,2020,摘要： 你品你细品的来源和意思表示的意思是”你体会一下，好好体会一下”或者“你想一下，你好好想一下。你感受感受，好好感受感受”。老阴阳师的用词之一你品你细品的使用例句不会吧，不会真的有人吧工作给别人吧？你品，你
土著,2019,摘要： 在一线城市语境下，特指那些被认为既有钱又有闲不必奋斗也不用操心未来的人生赢家。实际上通常守着爹妈三十年前分的老破小房子，埋头做社畜的同时还要提心吊胆HR的土著歧视，和所有人一样买不起本地的房子请关爱一线
聊骚,2014,摘要： 说正经的俺不行，但聊骚俺是碉堡的哦
你品你细品,2020,摘要： 你品你细品的来源和意思表示的意思是”你体会一下，好好体会一下”或者“你想一下，你好好想一下。你感受感受，好好感受感受”。老阴阳师的用词之一你品你细品的使用例句不会吧，不会真的有人吧工作给别人吧？你品，你
gay,2014,摘要： 你哥是gay，你姐是蕾丝边，你哥你姐都是同性恋的
戒撸,2014,"摘要： 戒撸难,难于上青天啊"
躺枪,2017,"摘要： 躲在家里却地震了,真是躺着也中枪啊哎"
朝鲜李子柒,2019,摘要： 朝鲜李子柒的来源和意思指的是韩剧爱的迫降里面的男主角-李政赫！剧中他虽然是北韩最大军阀的儿子，但是女主跟他说想吃什么他总能动手做出来，比方第三集女主说想喝到南韩江南区（在韩国相当于北京三里屯的地方）浓缩
沃卓斯基兄弟,2019,摘要： 著名科幻电影《黑客帝国》三部曲的导演。后来哥哥率先做了变性手术，变成了沃卓斯基姐弟。之后弟弟也紧随其后，变为沃卓斯基姐妹。
印度阿删,2020,摘要： 印度阿删的来源和意思指艺人杨颖，因为有段时间疯狂在豆瓣删八卦贴所以得名。与印度阿三巧妙融合。据说她本人还有印度血统？注:印度阿三是对印度人的蔑称。
城市迷走症,2014,摘要： 城市迷走症是最近网络上引起热议的一个词，是什么意思呢？不会是在城市里迷路吧！快来了解一下城市迷走症的含义，看看你有没有这种症状呢？
网课（云上课）,2020,摘要： 指因特殊原因全体学生不能到学校上课，通过利用网络平台教学，实现教师们在网上教、学生们在网上学的网课学习方式。
张扬体,2014,摘要： 走自己的路让别人说去吧!我想说：我XXXXX的热爱，无以复加，无人能及，我就是我，张扬无需解释！近日，因某产品的海报词而引发张扬体在网络上悄然流行，短短的30字的造句格式引发了网友的跟风造句。
女装大佬,2019,摘要： 女装大佬，网络流行词，也就是穿女装的&nbsp;男人。这个词出现在二次元中，是指扮女装技术很高的男人。词语来源该词最早出自2016年的时候，出自二次元中，尤其是cosplay中常常会有男生反串cos女性
老司机带带我,2019,摘要： 云南山歌。因其曲风欢快，歌词充满浓厚的生活气息，真实反映了当地生活风貌，引起了大众的共鸣获得了大众的喜爱。歌曲中老司机因为能开车带人而获得了丰厚的福利妹子，导致广大网友求各种神秘链接，种子，网站学习资料
暴民,2019,摘要： 暴民的来源和意思做名词时指凶残暴乱的人，用暴力、暴动的行为达到自己的目的。暴民甚至会无视法律，只为达到目的。随着互联网的发展，网络上也兴起了一起网络暴民，这群人对一些网友实施网络暴力，包括辱骂、人肉等方
卡粉男孩,2019,摘要： 卡粉男孩的来源和意思演员郭京飞的绰号。因为其在电视剧《琅琊榜2》中扮演的角色濮阳缨的造型而得名。因为郭京飞在该剧中的底妆颜色与演员的肤色差距极大，粉底还十分厚重，显得既惨白又斑驳，违和感强烈，非常抢镜。
冰冰/碎冰冰/忘忘碎冰冰,2021,摘要： 冰冰/碎冰冰/忘忘碎冰冰的出处《灵笼》中终章角色冉冰对兽化的马克“献祭”后，变成肉土，最终被坏蛋打碎的过程被某些现众称为“碎冰冰”，从而引发一场“还我冉冰”的弹幕狂潮。而后来出现的白老板——白月魁由于登
小确幸,2020,摘要： 心中隐约期待的小事刚刚好发生在自己身上的那种微小而确实的幸福与满足。
外星人偷狗事件,2019,摘要： 狗主人忙于工作怕狗子寂寞于是派遣了一个无人机照看它他们先是困惑你做出帮你遛狗狗的亚子，然后...
ed,2014,摘要： 乱吃壮阳药小心让ED来得更猛
低过老罗,2020,摘要： 指的是很多平台的价格比罗永浩直播带货的价格还低，而其却以最低价格为卖点
大v,2014,摘要： 前段时间网络大V薛蛮子因嫖娼和聚众淫乱被判刑，为什么说薛蛮子是网络大V呢？大V是什么含义呢？下面我们一起来了解一下吧！
追星界蜻蜓队长,2019,摘要： 追星界蜻蜓队长的来源和意思追星界蜻蜓队长指的是在追星路上绝不专一，看到长得帅的明显都有好感，具备以下三点特征的可以称之为追星界蜻蜓队长第一:爱一个哥哥绝不是意气用事第二:绝不错过任何一位帅气的男士第三:
SOP,2019,摘要： SOP的来源和意思SOP是“标准操作流程”的英文首字母缩写（Standard Operating Procedure）。意为将某件事物的规范操作流程用规范的语言严谨详细地描述一遍。比如说著名冷笑话“把大
猪猪女孩?,2019,摘要： 该词的常常用于自称或者是自嘲，没&nbsp;有明确的贬义的意思，可能自嘲自己&nbsp;比较懒散懒猪、或者是比较爱吃有很&nbsp;胖、或者是笨笨呆呆的意思。属于比&nbsp;较可爱的卖萌的说法，和另外
有图有jb,2017,摘要： 微信约炮有图有jb
60e,2021,摘要： 60e的来源和意思60e谐音60亿，指的是英雄联盟战队WE拥有60亿的粉丝，我们知道全球人口也就60亿，也就是说全世界的人都是WE粉，也称之为宇宙粉。这是一个夸大其词的说法，表达的意思是其人气旺盛，拥有
fw,2019,摘要： 废物的意思
无惨,2020,摘要： 无惨的来源和意思无惨，炭治郎的终生仇敌，鬼灭之刃的大BOSS，让下属送死，自己狗命的屑老板无惨：来源于日文。指画面内容和表现的故事比较重口味，比较另类的绘画作品。让无惨一词被大家熟知的，应该是本子画师桃
法式美甲,2019,摘要： 在美甲界指普通地涂一层甲油后再在指尖涂一道其他颜色（传统上来说是白色）装作自己其实没有涂甲油的样子进阶玩法还包括在色彩分界线边缘玩各种花样，加条金线加个花什么的
扎心魔仙,2019,摘要： 扎心魔仙的来源和意思指巴啦啦小魔仙中的占星魔仙。因剧中人物的占星一词发音类似扎心，剪辑到口胡视频中时配上了字幕“扎心”，“占星魔仙”就成为了扎心魔仙。也由于魔仙被称为摸仙，而称为“扎心摸仙”占星魔仙有不
你是我的小号,2015,摘要： 你是我的小号号，小呀小号号。。。
跨省,2014,摘要： 跨省，显而易见，就是从一个省到另一个省的空间转移，但是它不止这一个意思，还有另一个新兴意思，你知道吗？
种草莓,2019,摘要： 种草莓的来源和意思是不是经常听别人说种草莓，还一脸天真的上去跟别人讨论，“我最喜欢吃草莓了”，然后别人一阵大笑，你却一脸懵逼。今天就为你揭秘种草莓的真正含义，种草莓一般发生在情侣之间，常见部位为脖子，症
衣品好,2019,摘要： 衣品好是形容某个人很会穿衣搭配的意思。有时候判断一个人衣品好不好并不在于穿的多么时髦，也不在于穿的衣服是不是最新款，是不是大牌，而在于她是不是很会穿，这里特别强调搭配。因为搭配得好，所以给人一种这身衣服
法式美甲,2019,摘要： 在美甲界指普通地涂一层甲油后再在指尖涂一道其他颜色（传统上来说是白色）装作自己其实没有涂甲油的样子进阶玩法还包括在色彩分界线边缘玩各种花样，加条金线加个花什么的
铲屎官,2020,摘要： 铲屎官的来源和意思这个词是养猫或者养狗的人的自我嘲讽或者说安慰调侃吧，因为他们每天都要给自己心爱的宠物铲屎，没办法，却又不得不日复一日，年复一年的做着铲屎的工作。不过久而久之，也就习惯了每日的这种工作，
融梗,2020,摘要： 融梗，网络流行词，梗，来源&nbsp;于“哏”，本指艺术作品中的笑点，也指故事的情节、片段及创意等，融梗在一些人片面地看来，即把别人精彩的创意融合进自己的作品中。对于类型化的网络文学创作，“融&nbsp
老司机带带我,2019,摘要： 云南山歌。因其曲风欢快，歌词充满浓厚的生活气息，真实反映了当地生活风貌，引起了大众的共鸣获得了大众的喜爱。歌曲中老司机因为能开车带人而获得了丰厚的福利妹子，导致广大网友求各种神秘链接，种子，网站学习资料
肉鸡,2015,摘要： 我有100只肉鸡哦也
略懂先生,2019,摘要： 不论何时何地，都会主动把自己掌握的有限的知识分享给身边的人，滔滔不绝，无论对方想不想听。源于电影赤壁中诸葛亮所说：“什么都略懂一点，生活更多彩一些。”
吓尿了,2017,"摘要： 我一个人住,刚去厕所,看到一张用过的卫生巾...吓尿了"
接着奏乐接着舞,2020,摘要： 出自抖音中，玩家剪辑的视频。刘皇叔的一句台词：接着奏乐接着舞，由于这个背景音乐很上头，引起很多抖友跟风拍摄视频
办他,2019,摘要： 办他的来源和意思指“收拾他”、“对付他”。和“干他”语义相似，是我国北方一带常见的方言。由于电影《让子弹飞》中姜文与周润发对戏的经典片段，被许多抖音视频作者模仿，目前是抖音上的热门内容。电影中的原片段台
鸡腿体,2014,摘要： 流行语是网民们在网上互动的一种热词，流行语也是每天在不断的更新，那近来的网络流行语“鸡腿体”晓得是什么意思吗？
你在想妈妈,2019,摘要： 你在想妈妈的来源和意思你在想妈妈是对笨手笨脚的或者反应慢的人一种称呼方式！是一种嘲讽语气，比如你跟你一个人说话，他等了好久才回答你，你就可以问他是不是在想妈妈，又比如开团的时候，队友没来，就对他说“你在
卖赞,2014,"摘要： “点赞送景区门票、旅游券”,“集齐20个赞送优惠券……”眼下，网民们对“赞”有着越来越强烈的需求，已经滋生了一条成熟的专业刷赞和卖赞流水线。这些“赞”究竟是如何刷出来的？利润究竟有多高？"
找不到从良的理由,2019,摘要： 找不到从良的理由的来源和意思由淋文化（即蔡依林黑粉们使用并发展的一种文化体系）爱好者们以恶搞周阴婷为目的，为他制作的单曲和MV。周阴婷是一位本名为周英庭的蔡依林粉丝，因在网络骂战中力捧蔡依林并抹黑其他明
VTuber,2019,摘要： VTuber的来源和意思由 Virtual YouTuber 缩写而成的新词汇。用来指代在某视频网站上，用原创的虚拟人物人设为形象，以特定的配音演员（中之人，一般会隐藏身份，也有使用电子合成声的存在）进
卖腐,2015,"摘要： 将男人间的亲密关系描述得如此美好,哎呀又是一部卖腐的电影啊"
你是真的皮,2019,摘要： 该词最早来自斗鱼英雄联盟主播DSM&nbsp;大司马，他在直播中经常说这句话，&nbsp;可能是因为口音的问题发音不准，这&nbsp;也是属于他的个人特色和自带笑点，&nbsp;每当这个时候弹幕上就会刷
这家派出所有点忙,2018,摘要： 这家派出所有点忙是最近的微博热搜，同时也被网友用来调侃，那么这家派出所有点忙的来源和意思是什么呢，流行语百科带你解读
翠菊,2020,摘要： 翠菊的来源和意思即“脆拒”，表示被某高校很干脆利落的拒绝了。当然也可以用于其他场景，只是最开始这个词来源于高校录取上面。和“翠鹿（果断干脆地录取）”相对。翠菊的使用例句你被xx大学鹿（录）了还是菊（拒）
